Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-0.218978 -0.381752 -0.491241
-0.242336 -0.380292 -0.475182
-0.271533 -0.381752 -0.455474
-0.303650 -0.384672 -0.431387
-0.332117 -0.386131 -0.397080
-0.356934 -0.385401 -0.360584
-0.375182 -0.389051 -0.324818
-0.391971 -0.389781 -0.285401
-0.400000 -0.392701 -0.247445
-0.405109 -0.397080 -0.205839
-0.405109 -0.399270 -0.170803
-0.405109 -0.402190 -0.135036
-0.397080 -0.401460 -0.103650
-0.389781 -0.405109 -0.078832
-0.378832 -0.405839 -0.052555
-0.367883 -0.405839 -0.030657
-0.356204 -0.409489 -0.013869
-0.345255 -0.410219 0.001460
-0.334307 -0.411679 0.018978
-0.320438 -0.412409 0.030657
-0.308759 -0.415328 0.040876
-0.294891 -0.416788 0.048175
-0.282482 -0.417518 0.056204
-0.269343 -0.421168 0.063504
-0.260584 -0.422628 0.069343
-0.250365 -0.422628 0.073723
-0.240146 -0.421168 0.075912
-0.234307 -0.425547 0.081752
-0.224088 -0.424088 0.083942
-0.216058 -0.425547 0.087591
-0.210219 -0.426277 0.091971
-0.211679 -0.422628 0.097080
-0.201460 -0.423358 0.101460
-0.197810 -0.417518 0.108759
-0.192701 -0.418248 0.112409
-0.187591 -0.415328 0.117518
-0.188321 -0.411679 0.124088
-0.183942 -0.408759 0.131387
-0.178832 -0.409489 0.136496
-0.180292 -0.405109 0.141606
-0.177372 -0.403650 0.148905
-0.180292 -0.402190 0.147445
-0.175912 -0.397080 0.151825
-0.174453 -0.397080 0.161314
-0.177372 -0.394891 0.164234
-0.174453 -0.392701 0.168613
-0.172263 -0.389781 0.177372
-0.169343 -0.381752 0.182482
-0.164234 -0.380292 0.192701
-0.163504 -0.376642 0.201460
-0.160584 -0.372263 0.208029
-0.158394 -0.364964 0.217518
-0.157664 -0.356204 0.226277
-0.155474 -0.354745 0.232847
-0.154745 -0.343066 0.245255
-0.155474 -0.335036 0.254015
-0.154015 -0.328467 0.262044
-0.154745 -0.317518 0.272993
-0.150365 -0.310219 0.286131
-0.150365 -0.298540 0.297080
-0.152555 -0.289051 0.308029
-0.150365 -0.274453 0.321898
-0.151825 -0.257664 0.334307
-0.154745 -0.246715 0.347445
-0.156934 -0.230657 0.356204
-0.156934 -0.213869 0.368613
-0.161314 -0.197810 0.379562
-0.164234 -0.178102 0.389051
-0.168613 -0.162774 0.397810
-0.166423 -0.145985 0.406569
-0.173723 -0.125547 0.416058
-0.176642 -0.105839 0.421168
-0.175912 -0.089781 0.427007
-0.181752 -0.075912 0.434307
-0.189051 -0.062044 0.434307
-0.197810 -0.051825 0.435037
-0.204380 -0.037226 0.435037
-0.208759 -0.024088 0.439416
-0.217518 -0.008029 0.440146
-0.216058 0.000730 0.440146
-0.211679 0.008759 0.445985
-0.193431 0.022628 0.448175
-0.185401 0.031387 0.451095
-0.216058 0.042336 0.446715
-0.251095 0.048905 0.439416
-0.267883 0.056204 0.435037
-0.262774 0.060584 0.435766
-0.260584 0.065693 0.439416
-0.267153 0.067883 0.435037
-0.275182 0.074453 0.434307
-0.283212 0.080292 0.430657
-0.283942 0.086131 0.428467
-0.287591 0.091971 0.428467
-0.290511 0.097810 0.427737
-0.295620 0.102920 0.426277
-0.303650 0.109489 0.424088
-0.307299 0.113869 0.419708
-0.315328 0.118978 0.416788
-0.319708 0.129197 0.416058
-0.318248 0.137956 0.413869
-0.320438 0.145985 0.413869
-0.318978 0.155474 0.408759
-0.319708 0.164234 0.413139
-0.321898 0.172263 0.406569
-0.326277 0.184672 0.406569
-0.329197 0.189781 0.399270
-0.332117 0.197810 0.397810
-0.326277 0.205839 0.396350
-0.323358 0.210219 0.398540
-0.321898 0.216058 0.396350
-0.324818 0.211679 0.400000
-0.332117 0.208029 0.397810
-0.343796 0.205109 0.391241
-0.356934 0.216058 0.381752
-0.377372 0.228467 0.367883
-0.392701 0.243066 0.354015
-0.409489 0.249635 0.337956
-0.430657 0.252555 0.322628
-0.444526 0.261314 0.308029
-0.460584 0.266423 0.290511
-0.474453 0.274453 0.278102
-0.482482 0.275912 0.262774
-0.496350 0.282482 0.246715
-0.508029 0.283942 0.235036
-0.516058 0.287591 0.221168
-0.524818 0.287591 0.210949
-0.530657 0.289781 0.202190
-0.534307 0.287591 0.193431
-0.538686 0.294161 0.186131
-0.546715 0.297080 0.172263
-0.553285 0.294161 0.165693
-0.559124 0.296350 0.154745
-0.564964 0.297810 0.143066
-0.570803 0.298540 0.134307
-0.577372 0.297080 0.118978
-0.583942 0.294161 0.108029
-0.593431 0.294161 0.094161
-0.599270 0.293431 0.081022
-0.603650 0.298540 0.067153
-0.597810 0.303650 0.070073
-0.593431 0.313139 0.070803
-0.589781 0.324088 0.069343
-0.587591 0.328467 0.066423
-0.591241 0.321898 0.057664
-0.597080 0.318978 0.050365
-0.600730 0.314599 0.054015
-0.597810 0.310949 0.059854
-0.597080 0.308759 0.064234
-0.591971 0.313139 0.069343
-0.590511 0.312409 0.077372
-0.588321 0.312409 0.083212
-0.582482 0.310949 0.095620
-0.579562 0.311679 0.102190
-0.575182 0.313139 0.110949
-0.572263 0.310949 0.115328
-0.576642 0.309489 0.116788
-0.573723 0.305110 0.122628
-0.573723 0.305839 0.127007
-0.572263 0.302920 0.132847
-0.569343 0.305839 0.132847
-0.565693 0.305839 0.138686
-0.562044 0.309489 0.143796
-0.557664 0.309489 0.150365
-0.553285 0.312409 0.154015
-0.552555 0.313869 0.158394
-0.549635 0.315328 0.164963
-0.540876 0.317518 0.170803
-0.532847 0.321168 0.181022
-0.527737 0.324088 0.189051
-0.521168 0.329197 0.199270
-0.513869 0.328467 0.205109
-0.510219 0.321168 0.216788
-0.505839 0.316788 0.221898
-0.508029 0.309489 0.227007
-0.506569 0.300000 0.235766
-0.506569 0.294891 0.243796
-0.505109 0.283942 0.248175
-0.513869 0.270803 0.250365
-0.529197 0.254015 0.239416
-0.545985 0.242336 0.225547
-0.563504 0.225547 0.208029
-0.581752 0.212409 0.192701
-0.597080 0.202920 0.172263
-0.610219 0.194161 0.154015
-0.617518 0.183942 0.143066
-0.621168 0.177372 0.137226
-0.621168 0.178832 0.137956
-0.624088 0.179562 0.134307
-0.621168 0.181022 0.131387
-0.626277 0.183212 0.122628
-0.635036 0.183212 0.115328
-0.637226 0.184672 0.105839
-0.645985 0.178832 0.093431
-0.648175 0.176642 0.086861
-0.648175 0.179562 0.083942
-0.645255 0.178832 0.081022
-0.646715 0.183212 0.089051
-0.643796 0.184672 0.092701
-0.640876 0.182482 0.097080
-0.646715 0.178102 0.086861
-0.644526 0.177372 0.092701
-0.646715 0.175182 0.091241
-0.656204 0.162044 0.078102
-0.664234 0.143796 0.061314
-0.673723 0.124818 0.035766
-0.679562 0.104380 0.013869
-0.688321 0.091241 -0.008759
-0.690511 0.078832 -0.024088
-0.694161 0.070803 -0.033577
-0.694161 0.070073 -0.037226
-0.693431 0.064964 -0.043066
-0.694161 0.062044 -0.042336
-0.691971 0.059854 -0.037226
-0.691241 0.054015 -0.035766
-0.689781 0.048905 -0.037226
-0.693431 0.035766 -0.042336
-0.691971 0.025547 -0.048905
