Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-190 -358 251
-190 -356 250
-190 -350 253
-189 -355 252
-189 -352 254
-191 -354 253
-191 -357 250
-191 -351 253
-191 -354 250
-191 -355 251
-194 -351 254
-196 -358 249
-195 -354 251
-196 -356 251
-193 -358 249
-199 -350 256
-199 -357 248
-198 -353 252
-201 -355 251
-202 -357 249
-203 -352 253
-202 -354 250
-206 -354 253
-208 -349 254
-206 -353 247
-211 -347 255
-213 -349 253
-212 -357 248
-222 -347 253
-222 -349 249
-224 -348 251
-225 -346 253
-224 -351 248
-227 -347 248
-228 -352 251
-233 -350 250
-235 -344 250
-241 -346 248
-242 -343 249
-245 -345 251
-246 -350 247
-251 -344 250
-254 -345 247
-256 -345 247
-261 -339 249
-255 -346 243
-259 -340 247
-259 -345 246
-261 -348 241
-261 -340 247
-264 -347 241
-265 -340 247
-266 -341 247
-266 -345 241
-266 -339 245
-268 -345 244
-270 -343 241
-274 -335 246
-270 -341 240
-271 -339 242
-276 -340 245
-275 -345 240
-274 -342 244
-277 -339 239
-282 -340 243
-280 -337 247
-283 -342 237
-291 -334 247
-295 -333 244
-294 -338 238
-296 -332 244
-298 -336 245
-298 -331 240
-302 -332 244
-305 -332 240
-305 -327 244
-307 -331 240
-309 -330 243
-314 -323 246
-312 -328 240
-312 -326 243
-314 -328 245
-317 -327 238
-316 -322 243
-322 -322 242
-322 -319 242
-326 -317 247
-327 -323 241
-328 -313 245
-327 -319 242
-333 -320 241
-332 -314 244
-337 -318 242
-337 -313 244
-341 -313 245
-343 -315 240
-343 -308 244
-344 -312 240
-344 -311 242
-349 -306 247
-349 -312 238
-348 -309 243
-350 -305 242
-353 -310 240
-353 -305 245
-355 -307 238
-354 -307 242
-359 -306 241
-358 -309 236
-363 -302 242
-361 -306 238
-363 -304 241
-364 -298 244
-364 -307 236
-365 -300 238
-367 -301 239
-365 -306 232
-368 -297 237
-367 -302 237
-370 -302 236
-369 -299 238
-368 -305 231
-371 -300 238
-371 -302 240
-374 -301 233
-374 -296 241
-375 -303 233
-378 -296 236
-378 -297 238
-378 -301 232
-377 -294 236
-378 -298 234
-380 -299 236
-384 -291 239
-385 -297 234
-386 -291 233
-389 -292 236
-389 -295 229
-392 -287 237
-393 -291 234
-394 -291 236
-394 -286 235
-397 -293 233
-397 -284 235
-399 -283 235
-403 -286 229
-404 -279 236
-403 -284 232
-406 -279 232
-411 -279 235
-412 -279 230
-416 -276 236
-415 -275 234
-417 -274 236
-415 -270 234
-421 -275 230
-421 -269 235
-421 -273 231
-424 -273 230
-424 -263 235
-426 -270 230
-427 -266 235
-430 -262 234
-431 -267 229
-430 -263 234
-432 -261 229
-437 -260 230
-435 -253 238
-439 -263 231
-441 -255 231
-438 -257 230
-443 -258 225
-445 -252 230
-446 -255 227
-445 -252 228
-445 -249 231
-450 -255 225
-449 -250 226
-450 -251 225
-454 -250 226
-456 -246 229
-456 -249 226
-460 -245 227
-462 -244 223
-461 -247 221
-465 -238 229
-466 -238 224
-468 -238 223
-466 -232 225
-471 -238 225
-474 -230 225
-476 -233 226
-478 -232 219
-479 -226 225
-477 -230 218
-482 -222 223
-487 -219 221
-487 -225 220
-488 -220 223
-490 -221 220
-499 -211 218
-503 -199 224
-504 -205 219
-504 -201 219
-505 -201 219
-510 -202 215
-511 -195 221
-509 -198 217
-513 -198 219
-511 -191 223
-513 -195 216
-512 -193 218
-515 -192 217
-517 -194 213
-516 -187 219
-519 -190 214
-519 -185 216
-521 -185 220
-519 -187 212
-522 -178 217
-525 -184 212
-524 -182 212
-527 -173 216
-527 -178 211
-528 -173 216
-534 -174 212
-536 -178 210
-532 -171 215
-534 -173 213
-533 -166 213
-535 -167 213
