Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
156 -422 -388
148 -426 -391
157 -422 -392
152 -425 -393
153 -422 -395
157 -419 -399
149 -425 -399
151 -420 -400
148 -422 -402
137 -427 -410
146 -418 -417
132 -423 -416
135 -421 -424
133 -416 -429
120 -420 -434
126 -415 -437
119 -417 -444
115 -416 -444
121 -413 -454
110 -416 -455
108 -411 -460
105 -410 -466
95 -414 -464
100 -408 -472
94 -413 -472
94 -413 -475
95 -406 -478
86 -410 -477
88 -406 -484
87 -412 -483
81 -414 -482
86 -403 -488
84 -411 -486
80 -406 -492
81 -403 -491
70 -412 -491
79 -404 -493
75 -406 -491
73 -408 -490
80 -405 -496
73 -407 -492
74 -405 -497
74 -407 -497
64 -413 -495
70 -405 -502
69 -408 -498
67 -406 -502
72 -402 -506
63 -407 -502
66 -405 -503
64 -410 -503
59 -406 -505
62 -399 -509
58 -403 -508
58 -402 -508
56 -406 -510
52 -405 -507
60 -400 -515
52 -404 -510
54 -401 -515
55 -403 -516
42 -403 -512
52 -400 -521
43 -401 -520
43 -402 -519
47 -395 -526
40 -400 -520
42 -399 -527
39 -399 -526
36 -401 -523
39 -394 -530
31 -400 -526
32 -398 -534
31 -396 -536
21 -402 -530
26 -396 -538
24 -398 -534
18 -396 -535
22 -391 -544
11 -396 -537
15 -394 -544
13 -392 -546
1 -396 -543
8 -391 -549
5 -393 -549
0 -392 -553
2 -389 -559
-7 -395 -549
-5 -388 -557
-8 -389 -558
-15 -390 -555
-12 -384 -566
-22 -388 -560
-21 -382 -567
-22 -386 -567
-29 -387 -564
-26 -383 -570
-32 -386 -568
-35 -381 -570
-34 -380 -577
-39 -387 -573
-38 -380 -579
-40 -385 -571
-41 -384 -569
-39 -379 -575
-40 -382 -568
-39 -381 -575
-35 -382 -573
-44 -387 -569
-38 -380 -576
-42 -385 -572
-46 -384 -573
-41 -378 -579
-51 -385 -574
-52 -382 -578
-57 -382 -581
-65 -382 -574
-64 -376 -582
-68 -379 -581
-69 -377 -586
-69 -373 -589
-77 -377 -582
-77 -370 -590
-82 -375 -586
-88 -372 -587
-87 -367 -597
-92 -371 -590
-96 -369 -596
-98 -368 -596
-104 -376 -593
-106 -364 -599
-112 -368 -601
-115 -362 -601
-114 -359 -606
-122 -366 -596
-118 -360 -602
-127 -361 -603
-129 -365 -599
-131 -353 -612
-135 -360 -604
-137 -357 -608
-139 -356 -605
-144 -355 -604
-146 -353 -608
-152 -356 -604
-155 -355 -606
-160 -347 -615
-169 -353 -607
-167 -349 -611
-173 -348 -611
-179 -352 -607
-182 -344 -612
-186 -347 -613
-191 -345 -611
-193 -339 -617
-200 -346 -611
-198 -339 -613
-203 -345 -612
-202 -345 -608
-203 -337 -616
-208 -344 -607
-208 -343 -612
-209 -340 -612
-209 -346 -606
-210 -338 -611
-208 -342 -610
-210 -344 -609
-206 -340 -617
-208 -344 -606
-212 -341 -614
-211 -339 -612
-211 -343 -607
-210 -334 -615
-215 -339 -612
-217 -338 -613
-217 -334 -617
-217 -342 -610
-219 -337 -613
-221 -340 -608
-222 -341 -606
-222 -333 -614
-226 -338 -607
-223 -338 -607
-224 -337 -612
-229 -341 -599
-227 -338 -612
-232 -338 -608
-231 -336 -606
-235 -331 -612
-243 -337 -606
-245 -334 -609
-244 -335 -608
-248 -337 -600
-250 -332 -608
-251 -335 -603
-253 -333 -605
-254 -330 -608
-259 -337 -599
-258 -331 -606
-262 -334 -601
-260 -330 -605
-262 -330 -601
-265 -337 -596
-266 -325 -606
-270 -332 -598
-272 -330 -600
-270 -323 -605
-275 -332 -599
-277 -327 -603
-281 -328 -598
-283 -329 -596
-281 -326 -604
-284 -326 -594
-284 -327 -596
-286 -324 -597
-289 -330 -591
-293 -326 -598
-292 -330 -592
-292 -329 -592
-291 -323 -598
-293 -329 -589
-296 -325 -592
-295 -329 -589
-300 -333 -585
-299 -322 -593
-302 -327 -589
-305 -325 -589
-306 -323 -590
-305 -332 -582
-305 -322 -587
-310 -328 -586
-311 -327 -584
-312 -323 -589
-309 -329 -583
-311 -325 -585
-313 -325 -584
-311 -332 -579
-312 -324 -585
-313 -328 -584
-317 -328 -580
-313 -326 -587
-318 -329 -576
-319 -322 -583
-318 -329 -577
-320 -330 -573
-325 -326 -579
-328 -328 -571
-331 -327 -570
-335 -328 -574
-338 -333 -561
-335 -325 -566
-336 -330 -561
-340 -332 -561
-341 -322 -566
-345 -330 -556
-349 -329 -556
-352 -328 -555
-351 -332 -549
-355 -328 -555
-360 -332 -547
-358 -330 -546
-363 -326 -551
-367 -334 -539
-369 -331 -545
-371 -330 -537
-372 -330 -531
-374 -327 -538
-376 -333 -529
-380 -328 -529
-382 -328 -532
-382 -334 -525
-381 -330 -528
-381 -335 -521
-383 -335 -523
-385 -328 -526
-386 -336 -518
-389 -334 -519
-391 -331 -517
-393 -341 -509
-392 -331 -514
-391 -336 -511
-396 -337 -507
-397 -334 -511
