Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-29 -491 90
-17 -490 107
-10 -479 123
-13 -476 139
-12 -457 169
-4 -444 196
1 -444 202
-8 -436 217
6 -428 229
51 -427 220
80 -429 202
90 -437 183
100 -442 172
113 -446 156
121 -455 136
134 -464 111
143 -472 91
149 -473 71
161 -476 65
160 -479 51
165 -479 47
167 -480 44
162 -484 44
164 -487 41
160 -489 33
154 -489 29
152 -495 28
139 -501 24
133 -502 23
122 -511 20
110 -513 25
104 -508 25
94 -518 29
92 -519 27
96 -519 21
91 -521 19
95 -521 22
86 -524 26
72 -522 36
67 -522 44
52 -523 53
47 -525 63
38 -522 71
27 -520 82
15 -520 96
-4 -513 113
-5 -514 118
-2 -511 120
1 -513 120
5 -511 118
4 -512 112
7 -514 109
17 -515 98
26 -516 96
29 -511 87
31 -514 87
20 -510 98
14 -512 104
-4 -506 120
-20 -504 132
-40 -499 140
-64 -498 149
-81 -499 144
-101 -497 150
-125 -499 151
-148 -492 148
-171 -490 152
-192 -486 154
-213 -478 153
-234 -478 154
-245 -475 152
-266 -471 147
-281 -469 141
-295 -470 126
-311 -472 112
-320 -474 85
-333 -479 58
-347 -482 28
-352 -481 0
-371 -479 -15
-387 -469 -26
-408 -461 -36
-426 -452 -42
-446 -441 -49
-464 -430 -55
-482 -421 -57
-494 -410 -59
-506 -398 -52
-524 -383 -48
-537 -370 -44
-555 -355 -43
-568 -342 -44
-585 -325 -50
-605 -306 -56
-622 -286 -66
-639 -265 -68
-653 -243 -77
-672 -218 -83
-683 -195 -86
-697 -171 -94
-707 -151 -103
-718 -127 -108
-726 -107 -124
-739 -76 -135
-744 -52 -153
-751 -22 -172
-752 5 -189
-753 32 -210
-756 55 -226
-754 77 -242
-751 101 -262
-751 131 -279
-741 150 -297
-736 174 -316
-727 195 -335
-720 214 -346
-712 232 -359
-702 251 -372
-689 275 -388
-680 290 -400
-670 298 -415
-658 311 -427
-645 324 -441
-632 335 -459
-619 347 -473
-602 359 -486
-586 368 -503
-570 377 -518
-555 383 -529
-538 393 -542
-521 398 -557
-500 402 -576
-485 409 -587
-465 409 -606
-450 410 -617
-434 411 -626
-417 408 -635
-406 411 -644
-398 410 -653
-382 412 -661
-371 411 -669
-359 408 -677
-344 413 -679
-333 407 -689
-320 411 -693
-310 408 -699
-295 404 -706
-280 405 -716
-261 406 -723
-248 396 -728
-233 391 -732
-217 388 -737
-207 386 -743
-193 383 -746
-181 377 -750
-167 370 -756
-155 371 -757
-151 361 -763
-147 359 -765
-148 350 -772
-142 348 -772
-135 345 -779
-122 330 -781
-111 320 -785
-94 314 -790
-81 301 -794
-64 295 -798
-48 282 -799
-31 269 -807
-15 254 -806
-3 245 -808
10 238 -809
12 230 -810
18 222 -812
21 216 -813
22 207 -811
26 202 -815
25 190 -817
31 182 -818
33 176 -818
39 163 -823
39 152 -823
47 140 -824
47 128 -825
53 124 -823
60 113 -822
67 99 -823
76 82 -823
78 68 -817
91 51 -814
95 38 -814
100 23 -813
105 6 -810
108 -13 -806
112 -33 -798
113 -51 -797
110 -67 -794
112 -82 -792
107 -94 -788
107 -109 -781
109 -128 -775
105 -143 -768
106 -165 -760
100 -184 -757
94 -200 -746
