Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-273 12 454
-272 25 450
-272 25 453
-272 34 454
-274 39 455
-268 37 457
-271 51 455
-273 54 456
-269 58 455
-276 66 458
-271 66 457
-272 70 457
-269 74 457
-265 74 458
-270 86 454
-264 86 457
-267 91 457
-268 98 456
-262 94 462
-263 105 458
-260 101 457
-259 108 460
-264 115 457
-256 118 460
-259 121 458
-260 125 456
-254 120 462
-255 129 457
-252 128 460
-252 135 457
-255 141 455
-252 137 460
-253 144 459
-251 143 458
-247 145 458
-254 154 456
-248 151 458
-250 155 458
-249 164 455
-246 153 457
-248 166 455
-245 165 457
-247 168 456
-246 178 454
-242 173 457
-244 176 451
-246 182 453
-242 181 454
-244 191 453
-243 188 452
-244 194 449
-248 207 445
-243 198 447
-245 205 446
-241 210 446
-238 207 448
-243 218 445
-237 220 447
-241 224 445
-240 229 439
-238 233 443
-241 238 439
-242 236 438
-238 243 440
-245 245 437
-238 247 441
-240 250 434
-243 253 433
-238 253 437
-240 257 431
-240 258 434
-234 255 433
-231 257 432
-221 257 438
-220 260 436
-213 261 438
-214 260 440
-216 268 434
-209 266 438
-208 272 431
-211 278 433
-207 277 431
-213 281 429
-210 286 431
-208 289 430
-215 297 424
-214 294 426
-218 300 421
-221 304 421
-223 306 420
-227 315 414
-227 318 408
-228 327 408
-232 332 400
-233 330 402
-236 344 400
-234 343 396
-237 347 396
-244 355 386
-241 359 382
-243 366 381
-245 369 375
-246 367 378
-248 377 370
-247 376 369
-248 383 370
-252 390 360
-250 391 362
-251 396 359
-250 400 353
-247 404 355
-253 410 344
-250 414 349
-251 421 342
-260 420 335
-254 424 334
-257 432 330
-257 429 329
-251 435 328
-263 442 320
-258 442 319
-262 447 312
-265 453 302
-263 451 306
-269 461 294
-268 465 296
-267 470 286
-271 477 272
-271 480 273
-271 488 265
-269 489 261
-266 498 263
-270 502 248
-267 509 245
-266 510 238
-269 515 231
-265 515 229
-268 522 219
-270 526 216
-263 530 214
-271 532 205
-271 534 202
-273 539 194
-272 540 193
-268 542 191
-273 544 181
-274 547 182
-273 548 178
-277 551 169
-274 553 169
-277 553 164
-277 557 160
-278 560 159
-282 562 149
-285 564 149
-283 566 145
-291 568 138
-283 570 140
-289 570 128
-291 576 128
-284 575 124
-289 578 114
-285 579 114
-290 582 109
-290 582 106
-289 584 102
-295 586 96
-293 587 95
-294 588 89
-297 589 86
-296 587 86
-294 590 77
-296 590 76
-296 593 73
-299 595 61
-297 597 60
-296 599 55
-299 600 48
-294 598 51
-295 601 46
-292 605 44
-289 604 43
-290 607 34
-287 611 35
-284 610 26
-286 611 21
-285 615 19
-282 615 4
-283 619 -2
-283 624 -12
-284 621 -26
-278 621 -27
-281 627 -41
-276 628 -43
-276 632 -50
-276 632 -62
-271 635 -67
-270 635 -78
-269 636 -86
-266 640 -94
-265 637 -108
-264 640 -119
-259 642 -132
-261 641 -143
-257 641 -142
-258 642 -153
-254 641 -157
-254 645 -157
-257 641 -168
-254 645 -170
-252 644 -178
-254 645 -192
-248 643 -196
-251 643 -208
-251 645 -224
-250 640 -231
-259 637 -250
-258 638 -255
-263 636 -268
-267 632 -278
-268 632 -282
-275 626 -294
-279 626 -301
-281 623 -307
-293 618 -320
-295 615 -324
-300 611 -339
-303 608 -348
-304 604 -358
-313 596 -375
-313 594 -378
-316 590 -391
-321 583 -398
-324 586 -402
-328 579 -414
-330 571 -418
-333 570 -427
-338 561 -437
-339 562 -445
-340 557 -456
-347 546 -467
-342 543 -477
-349 533 -489
-347 526 -497
-346 517 -508
-353 509 -521
-350 507 -527
-353 494 -537
-356 491 -543
-356 481 -555
-361 473 -561
-360 470 -569
-361 462 -578
-365 450 -585
-360 450 -591
