Header Lines
Date	mSecs Since Epoch	Roll	Pitch	Heading	Roll rate	Pitch rate	Heading rate	Track	Speed over ground	Rudder Demand	MainSail Demand	Jib Demand	Latitude	Longitude
060914-103258.471 1409999578471	1.260822	-2.590916	-102.542839	0.080414	-0.966668	0.479221	0.000000	0.000000	65.045685	0.000000	0.000000	0.000000	0.000000
060914-103258.491 1409999578491	1.261086	-2.611605	-102.513382	-0.013910	-0.767559	0.775814	0.000000	0.000000	65.019424	0.000000	0.000000	0.000000	0.000000
060914-103258.511 1409999578511	1.261086	-2.611605	-102.513382	-0.013910	-0.767559	0.775814	0.000000	0.000000	65.019424	0.000000	0.000000	0.000000	0.000000
060914-103258.531 1409999578531	1.263409	-2.625517	-102.475510	0.118531	-0.319615	1.336574	0.000000	0.000000	65.182640	0.000000	0.000000	0.000000	0.000000
060914-103258.551 1409999578551	1.263409	-2.625517	-102.475510	0.118531	-0.319615	1.336574	0.000000	0.000000	65.182640	0.000000	0.000000	0.000000	0.000000
060914-103258.571 1409999578571	1.266351	-2.641170	-102.438721	-0.035249	-0.523612	1.136780	0.000000	0.000000	65.182640	0.000000	0.000000	0.000000	0.000000
060914-103258.591 1409999578591	1.266351	-2.641170	-102.438721	-0.035249	-0.523612	1.136780	0.000000	0.000000	65.236237	0.000000	0.000000	0.000000	0.000000
060914-103258.611 1409999578611	1.267095	-2.654533	-102.384926	0.042714	-0.450328	1.724243	0.000000	0.000000	65.236237	0.000000	0.000000	0.000000	0.000000
060914-103258.631 1409999578631	1.267095	-2.654533	-102.384926	0.042714	-0.450328	1.724243	0.000000	0.000000	65.402573	0.000000	0.000000	0.000000	0.000000
060914-103258.651 1409999578651	1.268353	-2.664138	-102.326096	0.036962	-0.396714	1.685142	0.000000	0.000000	65.402573	0.000000	0.000000	0.000000	0.000000
060914-103258.671 1409999578671	1.268353	-2.664138	-102.326096	0.036962	-0.396714	1.685142	0.000000	0.000000	65.402573	0.000000	0.000000	0.000000	0.000000
060914-103258.691 1409999578691	1.271988	-2.673863	-102.283020	0.089370	-0.307530	1.198769	0.000000	0.000000	65.495163	0.000000	0.000000	0.000000	0.000000
060914-103258.711 1409999578711	1.271988	-2.673863	-102.283020	0.089370	-0.307530	1.198769	0.000000	0.000000	65.495163	0.000000	0.000000	0.000000	0.000000
060914-103258.731 1409999578731	1.267536	-2.684986	-102.266029	-0.240162	-0.310123	0.426292	0.000000	0.000000	65.510567	0.000000	0.000000	0.000000	0.000000
060914-103258.751 1409999578751	1.267536	-2.684986	-102.266029	-0.240162	-0.310123	0.426292	0.000000	0.000000	65.510567	0.000000	0.000000	0.000000	0.000000
060914-103258.771 1409999578771	1.272986	-2.685136	-102.249825	0.064127	0.009850	0.507832	0.000000	0.000000	65.510567	0.000000	0.000000	0.000000	0.000000
060914-103258.791 1409999578791	1.272986	-2.685136	-102.249825	0.064127	0.009850	0.507832	0.000000	0.000000	65.551132	0.000000	0.000000	0.000000	0.000000
060914-103258.811 1409999578811	1.275348	-2.684721	-102.234116	-0.083007	0.101358	0.587463	0.000000	0.000000	65.551132	0.000000	0.000000	0.000000	0.000000
