Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124745.970	1436446065970	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.020	1436446066020	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.069	1436446066069	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.120	1436446066120	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.170	1436446066170	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.220	1436446066220	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.270	1436446066270	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.321	1436446066321	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.371	1436446066371	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.421	1436446066421	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.471	1436446066471	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.522	1436446066522	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.571	1436446066571	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.620	1436446066620	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.669	1436446066669	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.719	1436446066719	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.769	1436446066769	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.819	1436446066819	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.871	1436446066871	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.919	1436446066919	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124746.969	1436446066969	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.021	1436446067021	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.070	1436446067070	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.120	1436446067120	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.169	1436446067169	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.221	1436446067221	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.269	1436446067269	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.320	1436446067320	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.371	1436446067371	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.419	1436446067419	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.470	1436446067470	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.519	1436446067519	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.570	1436446067570	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.619	1436446067619	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.669	1436446067669	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.721	1436446067721	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
