Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124747.070	1436446067070	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-11.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.120	1436446067120	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-11.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.169	1436446067169	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-11.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.220	1436446067220	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-11.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.269	1436446067269	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-12.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.320	1436446067320	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-12.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.371	1436446067371	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-12.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.419	1436446067419	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-12.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.470	1436446067470	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-13.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.519	1436446067519	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-13.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.570	1436446067570	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-13.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.619	1436446067619	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-13.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.669	1436446067669	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-14.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.721	1436446067721	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-14.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.769	1436446067769	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-14.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.821	1436446067821	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-14.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.870	1436446067870	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-15.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.920	1436446067920	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-15.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124747.970	1436446067970	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-15.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.020	1436446068020	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-15.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.071	1436446068071	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-16.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.122	1436446068122	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-16.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.172	1436446068172	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-16.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.220	1436446068220	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-16.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.271	1436446068271	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-17.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.321	1436446068321	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-17.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.371	1436446068371	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-17.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.419	1436446068419	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-17.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.469	1436446068469	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-18.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.519	1436446068519	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-18.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.570	1436446068570	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-18.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.619	1436446068619	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-18.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.670	1436446068670	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-19.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.719	1436446068719	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-19.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.770	1436446068770	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-19.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.819	1436446068819	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-19.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.869	1436446068869	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-20.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.919	1436446068919	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-20.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124748.969	1436446068969	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-20.500000	5.000000	-2.000000	0.000000	-0.500000
